block_index,record_id,timestamp,data_hash,previous_hash,block_hash
0,nan,2025-08-01 00:00:00 EST,a8b8f5f357d99db637a1f927433520cc9c42a64e845691f4070340247f1823eb,0000000000000000000000000000000000000000000000000000000000000000,bacd5eacf22321e4ea40705146dc2f58ce35435d7283c1e2af0da603ff41aa21
1,nan,2025-08-01 00:00:00 EST,f70bfff91a1cd208f285f1845b372ab12c4d6a21a3c7afa0b053fb04de30aba3,bacd5eacf22321e4ea40705146dc2f58ce35435d7283c1e2af0da603ff41aa21,786e97dbf6dfc29a582117b2b3f4382c6dfcfcebaafc7c46688a39000a4b4b8a
2,TOP_SECRET__CBI__RBI_JOINT_TASK_FORCE,2025-08-01 00:00:00 EST,4a54f9ee7b16dc206662d0d43e838c417e86c6dc4d92d4542f177d8157681fd4,786e97dbf6dfc29a582117b2b3f4382c6dfcfcebaafc7c46688a39000a4b4b8a,0004d847a2f627182e394faf69525e10f3d2231e78a0355f0597525ea598ddca
3,EXECUTIVE_INTELLIGENCE_SUMMARY,2025-08-01 00:00:00 EST,4393abb20820b0e400a3520bf7406ffe585fb7cad3c812daf13b2309af70f9f0,0004d847a2f627182e394faf69525e10f3d2231e78a0355f0597525ea598ddca,17e45c299b938bd381539341cc3e122f45a46380cdce9b3c247e1ed9e733be4b
4,FIRST_INFORMATION_REPORTS_FIRS__POLICE_LOGS,2025-08-01 00:00:00 EST,651e786a38e50fb24a2d9c5a74e4d9e86758663c9580e31bd3cc31194d8bb6eb,17e45c299b938bd381539341cc3e122f45a46380cdce9b3c247e1ed9e733be4b,4c9db862c264af3485ba71c10f90841e01d089eb6513b66b91a296475b9a6450
5,JANAKIRAMAN_COMMITTEE_INTERIM_FINDINGS_RBI,2025-08-01 00:00:00 EST,468ad29ebad02cf4627b5d7dec062d0f7577e67f2e164eb39e3d4db62b91ca33,4c9db862c264af3485ba71c10f90841e01d089eb6513b66b91a296475b9a6450,5823c3a5b79ca90f29e40e2b57c59c91b7d85da7b8a099f07bbec1fe581b59bd
6,CALL_DETAIL_RECORDS_CDRS__PAGER_INTERCEPTS,2025-08-01 00:00:00 EST,4708c8302dc829348b548593b5ee239f99e9a2e8c509eebb0359ae6076869a2e,5823c3a5b79ca90f29e40e2b57c59c91b7d85da7b8a099f07bbec1fe581b59bd,7404cd572649ed1c2a43bde59bca23219277d4f1bca28f120e9941a9d318ff3b
7,FIELD_SURVEILLANCE_REPORTS,2025-08-01 00:00:00 EST,d23a5fc85e407f330ed82296978eaf33f8a1647379a3f4788bb44a1971435392,7404cd572649ed1c2a43bde59bca23219277d4f1bca28f120e9941a9d318ff3b,5aa17aeca44c9ec7aaeac9e81eef1dd5942b874dfd24f2f131a4c4417fb70ff9
8,FINANCIAL__FORENSIC_TRANSACTION_LOGS,2025-08-01 00:00:00 EST,53ea7f5da5e97de342708f33711c7c88d9fe849d5460b0805331103acdc9151d,5aa17aeca44c9ec7aaeac9e81eef1dd5942b874dfd24f2f131a4c4417fb70ff9,9fc29db3c6d4d4437f0b4db3abd285f217d4f8f19c16420219791342239ae77b
9,WITNESS_DEPOSITIONS__INTERROGATIONS,2025-08-01 00:00:00 EST,2935b286b974ebee1952883852a37579b21f0cb711590f58b51dce5803f84ac6,9fc29db3c6d4d4437f0b4db3abd285f217d4f8f19c16420219791342239ae77b,a4aa470b93bc01e2b734bd66268df1b8b4d64c585e0b6e1daa18d862a8a3158a
10,CRIMINAL_SYNDICATE_MAPPING__LEGAL_FALLOUT,2025-08-01 00:00:00 EST,3ca546f5959623b3d032abc11ac0083854cc53d89193fad249819ec44fbd8472,a4aa470b93bc01e2b734bd66268df1b8b4d64c585e0b6e1daa18d862a8a3158a,acbb23295edc09530574b0d73ac0062bba8482a6118122fd880024ca8accd3d4
11,OPEN_SOURCE__MARKET_GRAPEVINE_INTELLIGENCE_BULLETIN_BOARDS,2025-08-01 00:00:00 EST,4e2e1150d9ee98d2d7f7995a36d1556a29c95ce0d44337a7f167c38d38da5ee7,acbb23295edc09530574b0d73ac0062bba8482a6118122fd880024ca8accd3d4,47051e4671ff69a60fcc7c2005b19ece89837eb135159652908abeaffcffa2b9
