block_index,record_id,timestamp,data_hash,previous_hash,block_hash
0,nan,2025-08-01 00:00:00 EST,57c763c931c2913ebbd592d8b04f208a8f674eb91f0a76423599c99d354eb41e,0000000000000000000000000000000000000000000000000000000000000000,3e6c9a7cead85c90cd8d3b9a44eed44dccefa1ed52495052452a3c66b2cc4fab
1,nan,2025-08-01 00:00:00 EST,226658eb32b2e99c1b6a596e14251b7bd146d440b28767ea40b14c100f6c15ad,3e6c9a7cead85c90cd8d3b9a44eed44dccefa1ed52495052452a3c66b2cc4fab,0a72c38b9380307aa5cae1a48719b480b18112fff5cdc74d61934abde26539bb
2,EXECUTIVE_INTELLIGENCE_SUMMARY,2025-08-01 00:00:00 EST,b0d9329961997a9ca3d6ae3079e45a62f7e24bfcc6a9dd81fd96570e5a0400dd,0a72c38b9380307aa5cae1a48719b480b18112fff5cdc74d61934abde26539bb,236a09336de0155a0f7d5295369b426e456eb77f33bff2b08bcb7bb37d5b1501
3,FIRST_INFORMATION_REPORTS_FIRS__POLICE_LOGS,2025-08-01 00:00:00 EST,498cc5424b761fa1664bfb6141d45c08846fa91137e4be8604abe4f4091ce744,236a09336de0155a0f7d5295369b426e456eb77f33bff2b08bcb7bb37d5b1501,7c45929365387f6e00d17cb67abff9e7818b1179284d259d6de0738df46a89b4
4,JANAKIRAMAN_COMMITTEE_INTERIM_FINDINGS_RBI,2025-08-01 00:00:00 EST,468ad29ebad02cf4627b5d7dec062d0f7577e67f2e164eb39e3d4db62b91ca33,7c45929365387f6e00d17cb67abff9e7818b1179284d259d6de0738df46a89b4,8cb292b8088097c3cf9faa746de1b0d0d0c8c204e75ad444172d42a9294aa5e2
5,CALL_DETAIL_RECORDS_CDRS__PAGER_INTERCEPTS,2025-08-01 00:00:00 EST,4708c8302dc829348b548593b5ee239f99e9a2e8c509eebb0359ae6076869a2e,8cb292b8088097c3cf9faa746de1b0d0d0c8c204e75ad444172d42a9294aa5e2,cd4aaaadd2c9f685550c9b5e0fcf11f073ee36181dd0daea83b6e468e8dbe1cf
6,FIELD_SURVEILLANCE_REPORTS,2025-08-01 00:00:00 EST,364305b090a6a8627d3524f80ff88989dbbc74b43fb1a97ed52bcbbbdbee0ac1,cd4aaaadd2c9f685550c9b5e0fcf11f073ee36181dd0daea83b6e468e8dbe1cf,b8c78766115c5412e717c98c34bdc115925267a55b8aa99fde63eac3e438d0a3
7,FINANCIAL__FORENSIC_TRANSACTION_LOGS,2025-08-01 00:00:00 EST,53ea7f5da5e97de342708f33711c7c88d9fe849d5460b0805331103acdc9151d,b8c78766115c5412e717c98c34bdc115925267a55b8aa99fde63eac3e438d0a3,2226d6ae72724d2988080d5e025fe1ce4bccae976acdc6b2c4ec3e54d2813683
8,WITNESS_DEPOSITIONS__INTERROGATIONS,2025-08-01 00:00:00 EST,2935b286b974ebee1952883852a37579b21f0cb711590f58b51dce5803f84ac6,2226d6ae72724d2988080d5e025fe1ce4bccae976acdc6b2c4ec3e54d2813683,653b2487c82cbec594b914da8b4de99b11a5093b6546df38235c721e6147b81c
9,CRIMINAL_SYNDICATE_MAPPING__LEGAL_FALLOUT,2025-08-01 00:00:00 EST,3ca546f5959623b3d032abc11ac0083854cc53d89193fad249819ec44fbd8472,653b2487c82cbec594b914da8b4de99b11a5093b6546df38235c721e6147b81c,49bbdd38c9ce652ff447259dbffe7ba3c07a802e38d241e22ecfbce6917e4a68
10,OPEN_SOURCE__MARKET_GRAPEVINE_INTELLIGENCE_BULLETIN_BOARDS,2025-08-01 00:00:00 EST,4e2e1150d9ee98d2d7f7995a36d1556a29c95ce0d44337a7f167c38d38da5ee7,49bbdd38c9ce652ff447259dbffe7ba3c07a802e38d241e22ecfbce6917e4a68,d210acd28e050b350950864bdf2477d98987d8dfdb07b6020f7337429b365404
