block_index,record_id,timestamp,data_hash,previous_hash,block_hash
0,nan,2025-08-01 00:00:00 EST,5367a9e715d83b968053ede80c8a7617ad5e6c391e7a3ad48eb428ac56a8955e,0000000000000000000000000000000000000000000000000000000000000000,147e5f802c3271b2d182fbfe8e3295170282944de2cb16daf299107903e721e5
1,nan,2025-08-01 00:00:00 EST,c42a76b5440f5f337377619d2e195951c26f9ad0b98c37a512fdd9d95dd901f2,147e5f802c3271b2d182fbfe8e3295170282944de2cb16daf299107903e721e5,8a18ef0acc3ac694494c2e027e3769e385db1a6bb5dbe1d3884fffddbd64e7ed
2,PRIMARY_FIR_REGISTRATION_DETAILS,2025-08-01 00:00:00 EST,5096687d4a6e873d10e25f77bceccc40d42ee7d4be7af761ce2c95a5cd811b39,8a18ef0acc3ac694494c2e027e3769e385db1a6bb5dbe1d3884fffddbd64e7ed,8468f57a84051105e8c1847ceea64df1ee992ab36609480aab65647e3815924b
3,NARRATIVE_OUTLINE_OF_THE_INCIDENT_AS_FILED,2025-08-01 00:00:00 EST,d8ede8be7b7e4d321aecda65d56f34e3f9fd2a526fa2261d733957f476e8938c,8468f57a84051105e8c1847ceea64df1ee992ab36609480aab65647e3815924b,254db444cf4158f1a1c0ecd82b98936d701b43c8a52d9dfbf28e580f1bd28928
4,CASUALTIES_AND_IMMEDIATE_IMPACT,2025-08-01 00:00:00 EST,6fa202d7c0d9103c898eb4e5ed95a0f0e924017c1d3c2071e78c55fc193ea7c6,254db444cf4158f1a1c0ecd82b98936d701b43c8a52d9dfbf28e580f1bd28928,0df057e0ce99024265bd7e74474a92ed7f167066985cbefaea0b9a5fe5d7f3a9
5,JUDICIAL_COMMISSION__COURT_RULINGS,2025-08-01 00:00:00 EST,5aef372b0f77b3717f357de119431fde2ec4434b7b6c0feed65e02edc0d31c7e,0df057e0ce99024265bd7e74474a92ed7f167066985cbefaea0b9a5fe5d7f3a9,769ebb5215276f27c1910b76a82e5357114b3bb0c6a195ff1c0bbee216a72e39
6,EXECUTIVE_SUMMARY,2025-08-01 00:00:00 EST,d7c914f1eee92afa91d7d669e4dfce43fec21199c401a29207339faa01321d62,769ebb5215276f27c1910b76a82e5357114b3bb0c6a195ff1c0bbee216a72e39,22ea3ac6dfc9ef59428b55dbcd4e03dd642520983c6d9b90ddf481267b49ce39
7,KEY_IDENTIFIED_ENTITIES_NODES,2025-08-01 00:00:00 EST,97919a8b1b11780b6eecb186e5f6823950846cf2467d9ce0c49c434288883e9e,22ea3ac6dfc9ef59428b55dbcd4e03dd642520983c6d9b90ddf481267b49ce39,379934ce88a2d9bf91e27ed620e4965905c1f69f72e340bd9f3c3303583a0230
8,CHRONOLOGY_OF_EVENTS__LOGS,2025-08-01 00:00:00 EST,337a69bc1cebc8cdd4871817368006f757c845e972984a4e41ba49f6b9516952,379934ce88a2d9bf91e27ed620e4965905c1f69f72e340bd9f3c3303583a0230,4a5f5ed1b3c84e3f6715b2a2479ad07a2de6b76f5001e60bf0e9f0ac606cb3f7
9,NETWORK_EDGE_LIST_FOR_GRAPH_INGESTION,2025-08-01 00:00:00 EST,2e9250b354b48039707be0756edd4ac06734c9025156fcc05b093b24c541bf74,4a5f5ed1b3c84e3f6715b2a2479ad07a2de6b76f5001e60bf0e9f0ac606cb3f7,59cb3630194c1df64be5663c38e15a5406cced640b4775b828609328251a8016
