block_index,record_id,timestamp,data_hash,previous_hash,block_hash
0,nan,2025-08-01 00:00:00 EST,a18560b49e044a83181caeae811b0e7d771842731a8bc5bd1b654d3a61108574,0000000000000000000000000000000000000000000000000000000000000000,d2f03f356c351b9680ed555136eda0ea1225202c51531984caf262915cfdfdb8
1,nan,2025-08-01 00:00:00 EST,e8442be39236aac50d1bb9bca74679248463dd12eb20bb3a6e9faf6157676170,d2f03f356c351b9680ed555136eda0ea1225202c51531984caf262915cfdfdb8,24b45c58af61c3d6700fc6d3512e839ffc7fe9f17c1e2989e5430213d20f4d75
2,EXECUTIVE_INTELLIGENCE_SUMMARY,2025-08-01 00:00:00 EST,b0d9329961997a9ca3d6ae3079e45a62f7e24bfcc6a9dd81fd96570e5a0400dd,24b45c58af61c3d6700fc6d3512e839ffc7fe9f17c1e2989e5430213d20f4d75,74bdd89c52610ccde359a720473a057246d9a00d9c0c4fed274fd2ad107ea573
3,FIRST_INFORMATION_REPORTS_FIRS__POLICE_LOGS,2025-08-01 00:00:00 EST,651e786a38e50fb24a2d9c5a74e4d9e86758663c9580e31bd3cc31194d8bb6eb,74bdd89c52610ccde359a720473a057246d9a00d9c0c4fed274fd2ad107ea573,fb5f6f70dd578e77f3399f51b4d5336b837fc8a63478cae19f30e96d999267c6
4,JANAKIRAMAN_COMMITTEE_INTERIM_FINDINGS_RBI,2025-08-01 00:00:00 EST,468ad29ebad02cf4627b5d7dec062d0f7577e67f2e164eb39e3d4db62b91ca33,fb5f6f70dd578e77f3399f51b4d5336b837fc8a63478cae19f30e96d999267c6,44576cd8031ff76b24c1364a283a1ef1bbfb224e46fb3290372b860512a32c56
5,CALL_DETAIL_RECORDS_CDRS__PAGER_INTERCEPTS,2025-08-01 00:00:00 EST,4708c8302dc829348b548593b5ee239f99e9a2e8c509eebb0359ae6076869a2e,44576cd8031ff76b24c1364a283a1ef1bbfb224e46fb3290372b860512a32c56,b19bfb24f808b0dc5e06a9ecf404a2e366d810f7553e5879bf22f874569a8424
6,FIELD_SURVEILLANCE_REPORTS,2025-08-01 00:00:00 EST,364305b090a6a8627d3524f80ff88989dbbc74b43fb1a97ed52bcbbbdbee0ac1,b19bfb24f808b0dc5e06a9ecf404a2e366d810f7553e5879bf22f874569a8424,0f2171d62292aebc232b9de12a28bb22c9806fd6af987cf4ab0b05b23480aa1b
7,FINANCIAL__FORENSIC_TRANSACTION_LOGS,2025-08-01 00:00:00 EST,53ea7f5da5e97de342708f33711c7c88d9fe849d5460b0805331103acdc9151d,0f2171d62292aebc232b9de12a28bb22c9806fd6af987cf4ab0b05b23480aa1b,35364551dfec57300fd343343e364dcb9b1553ae1779bce528e222a3326b2f42
8,WITNESS_DEPOSITIONS__INTERROGATIONS,2025-08-01 00:00:00 EST,2935b286b974ebee1952883852a37579b21f0cb711590f58b51dce5803f84ac6,35364551dfec57300fd343343e364dcb9b1553ae1779bce528e222a3326b2f42,aa24022e8f5afdc9aeaea98f6ec42684469dd71bcb7cf3851accab3cb2bd550a
9,CRIMINAL_SYNDICATE_MAPPING__LEGAL_FALLOUT,2025-08-01 00:00:00 EST,3ca546f5959623b3d032abc11ac0083854cc53d89193fad249819ec44fbd8472,aa24022e8f5afdc9aeaea98f6ec42684469dd71bcb7cf3851accab3cb2bd550a,9e219d0e4d0f94dc44370d5263838e783b236a3075148da344fe1e63eb019ce5
10,OPEN_SOURCE__MARKET_GRAPEVINE_INTELLIGENCE_BULLETIN_BOARDS,2025-08-01 00:00:00 EST,4e2e1150d9ee98d2d7f7995a36d1556a29c95ce0d44337a7f167c38d38da5ee7,9e219d0e4d0f94dc44370d5263838e783b236a3075148da344fe1e63eb019ce5,8c2cf4a1ea8b1937384cc784c5f566eb0cbbeff31d98bb9f9ee42584879da366
