block_index,record_id,timestamp,data_hash,previous_hash,block_hash
0,nan,2025-08-01 00:00:00 EST,bcb23273a472f099d2fdfb72c661cd9a703525aa3af6edf9c5c82a07cca7812a,0000000000000000000000000000000000000000000000000000000000000000,ae448babd556cf18cdc0ae8dfb665525939313c47f6d6d3130d96f55e5b038bf
1,nan,2025-08-01 00:00:00 EST,e8442be39236aac50d1bb9bca74679248463dd12eb20bb3a6e9faf6157676170,ae448babd556cf18cdc0ae8dfb665525939313c47f6d6d3130d96f55e5b038bf,12f8939cbdebe4260c6880b324c7ecfc28d3418bedb347f8abc42e2d529b26f4
2,EXECUTIVE_INTELLIGENCE_SUMMARY,2025-08-01 00:00:00 EST,b0d9329961997a9ca3d6ae3079e45a62f7e24bfcc6a9dd81fd96570e5a0400dd,12f8939cbdebe4260c6880b324c7ecfc28d3418bedb347f8abc42e2d529b26f4,b9d6077ef7e71f8a57dc6976fea74f9ca7a8293fda851cb48ef825c9d7abef19
3,FIRST_INFORMATION_REPORTS_FIRS__POLICE_LOGS,2025-08-01 00:00:00 EST,651e786a38e50fb24a2d9c5a74e4d9e86758663c9580e31bd3cc31194d8bb6eb,b9d6077ef7e71f8a57dc6976fea74f9ca7a8293fda851cb48ef825c9d7abef19,b8f8a5ab685cf2bb5b6a1d00ce3108c5cbb0c2ce61862b0cf524947606e0f2e7
4,JANAKIRAMAN_COMMITTEE_INTERIM_FINDINGS_RBI,2025-08-01 00:00:00 EST,468ad29ebad02cf4627b5d7dec062d0f7577e67f2e164eb39e3d4db62b91ca33,b8f8a5ab685cf2bb5b6a1d00ce3108c5cbb0c2ce61862b0cf524947606e0f2e7,8b8121fdbb18188fca6e2110e66afbd005afeb471b95bb48d07d3d4152bc8a61
5,CALL_DETAIL_RECORDS_CDRS__PAGER_INTERCEPTS,2025-08-01 00:00:00 EST,4708c8302dc829348b548593b5ee239f99e9a2e8c509eebb0359ae6076869a2e,8b8121fdbb18188fca6e2110e66afbd005afeb471b95bb48d07d3d4152bc8a61,52e6fb19652a515eebd18c76c8a730c2f2bf5e4e65937ca1c814521f0f9860bd
6,FIELD_SURVEILLANCE_REPORTS,2025-08-01 00:00:00 EST,364305b090a6a8627d3524f80ff88989dbbc74b43fb1a97ed52bcbbbdbee0ac1,52e6fb19652a515eebd18c76c8a730c2f2bf5e4e65937ca1c814521f0f9860bd,014770448bc0cb213ababe6fcf69637bc68e3894ebcd6d7b0aadc2d7603b1eb1
7,FINANCIAL__FORENSIC_TRANSACTION_LOGS,2025-08-01 00:00:00 EST,53ea7f5da5e97de342708f33711c7c88d9fe849d5460b0805331103acdc9151d,014770448bc0cb213ababe6fcf69637bc68e3894ebcd6d7b0aadc2d7603b1eb1,af9a538679206bbbff31a5a3c97ec61b7984579440d2e6ccacde2e0f41da2b79
8,WITNESS_DEPOSITIONS__INTERROGATIONS,2025-08-01 00:00:00 EST,2935b286b974ebee1952883852a37579b21f0cb711590f58b51dce5803f84ac6,af9a538679206bbbff31a5a3c97ec61b7984579440d2e6ccacde2e0f41da2b79,25205911049f1958ab59fa1c0df6114d2347cb55c01c5d463bf84f7e3d1ac645
9,CRIMINAL_SYNDICATE_MAPPING__LEGAL_FALLOUT,2025-08-01 00:00:00 EST,3ca546f5959623b3d032abc11ac0083854cc53d89193fad249819ec44fbd8472,25205911049f1958ab59fa1c0df6114d2347cb55c01c5d463bf84f7e3d1ac645,99756b1ca94b327eaa354738833ab16f7de2072fba8a4108887bb4d1b9b4f94d
10,OPEN_SOURCE__MARKET_GRAPEVINE_INTELLIGENCE_BULLETIN_BOARDS,2025-08-01 00:00:00 EST,4e2e1150d9ee98d2d7f7995a36d1556a29c95ce0d44337a7f167c38d38da5ee7,99756b1ca94b327eaa354738833ab16f7de2072fba8a4108887bb4d1b9b4f94d,5410af5e0cbe545721518655b5981498ad9678425471925e54f4ce8a81ab715a
