block_index,record_id,timestamp,data_hash,previous_hash,block_hash
0,SEC_PREAMBLE,2025-08-01 00:00:00 EST,8e34729b7f74cee19ced219546d489380901c2c45f82f12215a747b5b849bbb2,0000000000000000000000000000000000000000000000000000000000000000,70f716a9c2e6cf9a2c065256b19dc4da3773556714f554607da6fb6f3e3e0dea
1,SECTION_1_FINANCIAL_AUDIT_LOG,2025-08-01 12:23:00 EST,3716c4e834298f6432a6cb77fd24de089019fa5dca838ff54f1be05071451ba3,70f716a9c2e6cf9a2c065256b19dc4da3773556714f554607da6fb6f3e3e0dea,8dc151deb6ee4c9e97d1c4d1dfc21bc2e9d4d7f1dce2b43cc8e5eeb22a8f40e8
2,SECTION_2_WIRETAP_INTERCEPT,2025-08-01 22:00:00 EST,006596afcb597dc2d19725eea9ec4b074db8f8587635aa30f1294b017ce00f54,8dc151deb6ee4c9e97d1c4d1dfc21bc2e9d4d7f1dce2b43cc8e5eeb22a8f40e8,6fd330ab12ea316bef585732ae9ee774a9cf700616e8e8f1f7030ff594c6e993
3,SECTION_3_WIRETAP_INTERCEPT,2025-08-02 06:36:00 EST,1a292d43f9934522b533565825a8fef797c490f965366d38bdbf7f56cc9a4690,6fd330ab12ea316bef585732ae9ee774a9cf700616e8e8f1f7030ff594c6e993,10fc849011dce875b0291472e6b35e93218663c0fbdc5c0e946cfca8f4215b7d
4,SECTION_4_FINANCIAL_AUDIT_LOG,2025-08-02 15:30:00 EST,fe9a75fa94d292dcecbc60d52081e515ba8d47eea66c151db3dd41ffd5858d68,10fc849011dce875b0291472e6b35e93218663c0fbdc5c0e946cfca8f4215b7d,befae9c3d85515e97b33aea5e297eb01c5036323535b69db50cc72082215ebbd
5,SECTION_5_CDR_CELLULAR_TOWER_LOG,2025-08-02 20:24:00 EST,4fab3e5915d719e837d6b68978cfa49ee8b0ab5b2c5ab7aa575bd9ea15768793,befae9c3d85515e97b33aea5e297eb01c5036323535b69db50cc72082215ebbd,37b0124ddbac791aa916138def31977474302b1aef1ff3bac74dda96d1038db8
6,SECTION_6_CDR_CELLULAR_TOWER_LOG,2025-08-02 22:14:00 EST,7d12b02e37ecfe22bc1b0762e4ca8de7623729835deb4f8a61cc6eafd6d39a71,37b0124ddbac791aa916138def31977474302b1aef1ff3bac74dda96d1038db8,635b143fd933c8bab670ecb25bb0ae2adb2cd521f53f69eb9461e99414725629
7,SECTION_7_WIRETAP_INTERCEPT,2025-08-03 03:37:00 EST,afae4de1fe8b75f6469ef78fef26b7f6deb1076f78a028da3075472e43a9f6a1,635b143fd933c8bab670ecb25bb0ae2adb2cd521f53f69eb9461e99414725629,c58644914d6166dfb0531fcd263e5a62a573178d45314589f7b51734eb111bbf
8,SECTION_8_CDR_CELLULAR_TOWER_LOG,2025-08-03 16:15:00 EST,cf2baaf955c486adee0a1180b32707afe50bde5e544ea9edad0ad30b8b3611c3,c58644914d6166dfb0531fcd263e5a62a573178d45314589f7b51734eb111bbf,21aab9b97548f1153ffd2d286e1147135319838aaea49a8e9660492cfdf2f2b6
9,SECTION_9_CDR_CELLULAR_TOWER_LOG,2025-08-03 19:32:00 EST,433068c29daa4a166688207e8761e4be0290a4e37f6ead62ebb013e9e342eee9,21aab9b97548f1153ffd2d286e1147135319838aaea49a8e9660492cfdf2f2b6,9ff8e8af22b8a43360a81c2abd2bc999aa99fd9b31435105a2a7d6cc77a7e110
10,SECTION_10_FINANCIAL_AUDIT_LOG,2025-08-04 06:20:00 EST,9963d3911f188717561f57a2ab627649c4c1b396c69a85172f7b7d7e35356973,9ff8e8af22b8a43360a81c2abd2bc999aa99fd9b31435105a2a7d6cc77a7e110,5cd1afcec9de55448126c595d1b33fb860d9ecc42a3d969fab03977df590f632
11,SECTION_11_FD-302_SURVEILLANCE,2025-08-04 13:22:00 EST,44918500136f9c81633badeb63ef01c637ced07dbf534abccafc204cdf5d5a50,5cd1afcec9de55448126c595d1b33fb860d9ecc42a3d969fab03977df590f632,3b6fde4f58c2072178ca384f054a1b5a6e3357c3d3c099f30fae40968719fb67
12,SECTION_12_CDR_CELLULAR_TOWER_LOG,2025-08-04 18:08:00 EST,25b6b79070970e654fa688d4e17607396aaf0763cdab8fbb6d26be869e124f08,3b6fde4f58c2072178ca384f054a1b5a6e3357c3d3c099f30fae40968719fb67,3e3f0d3c151d035615b0b2a05c5f43c964feea47cb270d675f5d4c78a65b167f
13,SECTION_13_WIRETAP_INTERCEPT,2025-08-05 06:10:00 EST,91bedc2f13721c67fed25b037b7ef5ac146e832381cbdac3645dddefd8d75c9d,3e3f0d3c151d035615b0b2a05c5f43c964feea47cb270d675f5d4c78a65b167f,18e7180ae21467ff24c3f5e986a6bf71ca172cbaadbc1b8291394c1983724303
14,SECTION_14_WIRETAP_INTERCEPT,2025-08-05 11:52:00 EST,30dc75934bcdaa267a6bbed58b1b1bc383386fb6c6ae87e7cfb8be82ad0ae2d5,18e7180ae21467ff24c3f5e986a6bf71ca172cbaadbc1b8291394c1983724303,4d901343a72585a6d8f4d62cee6e4f8ba17c32adee9743d62dbe453d79c91aa5
15,SECTION_15_FINANCIAL_AUDIT_LOG,2025-08-05 18:56:00 EST,7c041a6c52f94997fd8921c95323058f908a40b0b10f04783ed79755a40ee65d,4d901343a72585a6d8f4d62cee6e4f8ba17c32adee9743d62dbe453d79c91aa5,877eb6a90248709c6e5fc0a2e3e2040d4d863f72f111a7b1d58fcd920f051165
16,SECTION_16_FD-302_SURVEILLANCE,2025-08-06 02:53:00 EST,8d9c09db45746499e1e405bc4f9d2b77e49c31622ca071ad478c8118fba94524,877eb6a90248709c6e5fc0a2e3e2040d4d863f72f111a7b1d58fcd920f051165,15bd9b94c59f278893cb94bb805aac5488ba1c0dbdb11eb3f1b61c0052d80b29
17,SECTION_17_FINANCIAL_AUDIT_LOG,2025-08-06 04:40:00 EST,c131af2cfdd0235a1428c141209e66921b993032d20d86ad40f3c6f6e3a4579c,15bd9b94c59f278893cb94bb805aac5488ba1c0dbdb11eb3f1b61c0052d80b29,cc4a5de9474e1da118e9af9643c7130120c26e0bafe8e9e62c0bcde81d58ae33
18,SECTION_18_FD-302_SURVEILLANCE,2025-08-06 06:26:00 EST,0b0caabb1863920506d461a7a8b76172703cd72728f3111681a9f085949e1610,cc4a5de9474e1da118e9af9643c7130120c26e0bafe8e9e62c0bcde81d58ae33,d6d62c82b42a6502ad73f002209eb509f644ff93c80bef6fca31e4b431c07374
19,SECTION_19_WIRETAP_INTERCEPT,2025-08-06 12:01:00 EST,743f4217ef76204189e79b9cfdf8429424a7ef1d79f8a9098da823395fa3dbea,d6d62c82b42a6502ad73f002209eb509f644ff93c80bef6fca31e4b431c07374,f66558a7db9e1073e37d2d2240a4ac2c5db9f95186c5d00902e095755d17b4a4
20,SECTION_20_WIRETAP_INTERCEPT,2025-08-06 20:02:00 EST,6d65b4c4a365b4aea78592a9d766d7818cdc85ed0b154027bd100e5910069aa4,f66558a7db9e1073e37d2d2240a4ac2c5db9f95186c5d00902e095755d17b4a4,6d9f373696d873eebc47923f145a98ef3e611498f23cc65587fdca155ee37583
21,SECTION_21_FD-302_SURVEILLANCE,2025-08-07 03:49:00 EST,b6f7fc5b89c322df25481ab52f75e9ec662db368623177874d3710a910df6815,6d9f373696d873eebc47923f145a98ef3e611498f23cc65587fdca155ee37583,ff919c418e4c3950cb12692c6b27fd62f284400c0a445e396580b7caa3586a0d
22,SECTION_22_FINANCIAL_AUDIT_LOG,2025-08-07 06:38:00 EST,314ef49c8d7ed86e7c7ca44734f6b243b5570bee114a7ad978087d4b8d380810,ff919c418e4c3950cb12692c6b27fd62f284400c0a445e396580b7caa3586a0d,f6be78df79ac5b5cf86f4f5b4ac31773dbf86eb0799e1c8f7d2a5fdbf428647a
